exact_score_accuracy,goal_mae,goal_difference_mae,outcome_accuracy,brier_score,log_loss,match_id,model
0,0.5,1,1,0.22640000000000002,0.4780358009429998,M01,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.30499999999999994,0.5978370007556204,M02,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.905,1.3862943611198906,M03,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.22160000000000002,0.4780358009429998,M04,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.7153999999999999,1.171182981502945,M05,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.8264,1.3470736479666092,M06,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.5064000000000001,0.8675005677047231,M07,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,0.49140000000000006,0.843970070294529,M08,meta/llama-3.1-8b-instruct-fast
0,2.5,5,1,0.1106,0.31471074483970024,M09,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.905,1.3862943611198906,M10,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.1458,0.31471074483970024,M100,meta/llama-3.1-8b-instruct-fast
0,1.5,3,0,1.0657999999999999,1.3093333199837622,M101,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.0,9.992007221626415e-16,M102,meta/llama-3.1-8b-instruct-fast
0,3.5,3,0,0.7688,0.9675840262617056,M103,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,2.0,34.538776394910684,M104,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.5048000000000001,0.8675005677047231,M11,meta/llama-3.1-8b-instruct-fast
0,2.0,4,0,0.49140000000000006,0.843970070294529,M12,meta/llama-3.1-8b-instruct-fast
0,1.5,1,0,0.9463999999999999,1.3470736479666092,M13,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.9463999999999999,1.3470736479666092,M14,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.8264,1.3470736479666092,M15,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,1.2505999999999997,1.8325814637483102,M16,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.22160000000000002,0.4780358009429998,M17,meta/llama-3.1-8b-instruct-fast
